erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.
Verfolgung	pursuit	Sie haben dieses Schloß gemeinsam erbaut, fern von neugierigen Muggelaugen, denn es war ein Zeitalter, als das einfache Volk die Zauberei fürchtete und Hexen und Zauberer unter grausamer Verfolgung zu leiden hatten.«
bemüht	tries	Hermine bemühte sich offenbar immer noch, sich das Lachen zu verkneifen.
Staunen	amazement	Percy Weasley, mit glänzendem Vertrauensschülerabzeichen, stand wie angewurzelt am Treppenabsatz, mit dem Ausdruck ungläubigen Staunens auf dem Gesicht.
Lage	location	Der Erbe allein soll in der Lage sein, die Kammer des Schreckens zu entsiegeln, den Schrecken im Innern zu entfesseln und mit seiner Hilfe die Schule von all jenen zu säubern, die es nicht wert seien, Zauberei zu studieren.«
Bescheid	am content	»Die Klagende Witwe ist immerhin aus Kent angereist« es ist Zeit für meine Rede, ich geh lieber und sag dem Orchester Bescheid« e Das Orchester hörte jedoch in diesem Moment zu spielen auf.
einträchtig	harmonious	»Ein paar Jahre lang arbeiteten die Zauberer einträchtig zusammen.
gestanden	been	Harry und Ron standen mit offenen Mündern da, doch Hermine zuckte matt die Achseln und meinte:»Offen gestanden war das für Myrtes Verhältnisse eine fast fröhliche Unterhaltung« kommt, gehen wir.«
Verhältnis	relationship	Harry und Ron standen mit offenen Mündern da, doch Hermine zuckte matt die Achseln und meinte:»Offen gestanden war das für Myrtes Verhältnisse eine fast fröhliche Unterhaltung« kommt, gehen wir.«
Kluft	rig-out	Zwischen Slytherin und den andern tat sich eine wachsende Kluft auf.
Vorfall	incident	Dumbledore murmelte jetzt seltsame Worte vor sich hin und tippte Mrs Norris mit seinem Zauberstab an, doch nichts passierte: sie sah weiterhin aus, als wäre sie gerade ausgestopft worden. »– ich kann mich an einen ganz ähnlichen Vorfall in Ouagadogou erinnern«, sagte Lockhart, »eine Serie von Attacken, nachzulesen in meiner Autobiographie; ich konnte die Dorfbevölkerung mit verschiedenen Amuletten ausstatten, und die Sache war sofort erledigt«– Die Lockharts an den Wänden nickten allesamt zustimmend.
schrumplig	wrinkled	Er war uralt und schrumplig, und viele Leute sagten, er habe nicht bemerkt, daß er tot sei.
Mär	fable	Eine Mär, die dazu taugt, den Leichtgläubigen Furcht einzujagen.«
Staubsauger	vacuum cleaner	Professor Binns öffnete seine Unterlagen und begann dumpf dröhnend wie ein Staubsauger zu lesen, bis fast alle in der Klasse in einen Wachschlaf verfallen waren, nur gelegentlich aufmerkend, um einen Namen oder ein Datum zu notieren.
unterliegen	lose	Professor Binns öffnete seine Unterlagen und begann dumpf dröhnend wie ein Staubsauger zu lesen, bis fast alle in der Klasse in einen Wachschlaf verfallen waren, nur gelegentlich aufmerkend, um einen Namen oder ein Datum zu notieren.
Besessene	obsessive	Chapter 10: Der besessene Klatscher Seit der unrühmlichen Geschichte mit den Wichteln hatte Professor Lockhart keine lebenden Geschöpfe mehr in den Unterricht gebracht.
Geschehnis	event	Stattdessen las er ihnen aus seinem Buch vor und manchmal spielte er einige der dramatischeren Geschehnisse daraus nach.
Schnupfen	(to) sniff	So hatte er ihn schon genötigt, einen einfachen Dörfler aus Transsylvanien zu spielen, den Lockhart von einem Babbelfluch geheilt hatte, einen Yeti mit einem Schnupfen und einen Vampir, der, seit Lockhart sich ihn zur Brust genommen hatte, nichts mehr außer Kopfsalat essen konnte.
Kopfsalat	cabbage	So hatte er ihn schon genötigt, einen einfachen Dörfler aus Transsylvanien zu spielen, den Lockhart von einem Babbelfluch geheilt hatte, einen Yeti mit einem Schnupfen und einen Vampir, der, seit Lockhart sich ihn zur Brust genommen hatte, nichts mehr außer Kopfsalat essen konnte.
weigern	refuse	Er hätte sich am liebsten geweigert, doch hatte er einen sehr guten Grund, Lockhart bei Laune zu halten.
heulen	(to) howl	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück
Kehle	throat	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück in einen Menschen.
fiepen	whimper	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück in einen Menschen.
Brust	breast	Lockhart warf sich in die Brust.
Belohnung	reward	Mein Buch Magisches Ich mit Autogramm als Belohnung für das beste Gedicht!«
Teesieb	tea strainer	»Oja«, sagte Hermine respektvoll, »so schlau, wie Sie diesen letzten mit dem Teesieb gefangen haben «– »Nun, sicher wird niemand etwas dagegen haben, wenn ich meiner besten Schülerin in diesem Jahr noch ein wenig weiterhelfe«, sagte Lockhart herzlich und zückte einen riesigen Pfauenfederhalter. »ja, hübsch, nicht wahr?«, sagte er, Rons empörten Blick mißdeutend, »ich benutz ihn normalerweise nur, um Bücher zu signieren.«
brauchbar	useful	Wie ich höre, sind gSie ein brauchbarer Spieler.
Erfahrung	experience	Bin immer gern bereit, meine Erfahrung an weniger gute Spieler weiterzugeben«– Harry gab einen undeutlichen Kehllaut von sich und hastete dann Ron und Hermine nach.
Aufschneider	boaster	»Er ist eben ein hirnloser Aufschneider«, sagte Ron.
schrill	shrill	»Aber was soll’s, wir haben, was wir brauchen «– »Er ist kein hirnloser Aufschneider«, sagte Hermine schrill, und im Laufschritt machten sie sich auf den Weg in die Bibliothek.
reizbar	irritable	Madam Pince, die Bibliothekarin, war eine dürre, reizbare Gestalt, die aussah wie ein unterernährter Geier.
Geier	vulture	Madam Pince, die Bibliothekarin, war eine dürre, reizbare Gestalt, die aussah wie ein unterernährter Geier.
hauchen	breathe	»Ich würd es so gerne behalten«, hauchte sie.
staksen	stalk	Sie stakste davon und verschwand zwischen den hohen Regalen.
schimmlig	mouldy	Ein paar Minuten später kehrte sie mit einem großen, schimmlig aussehenden Buch zurück.
schuldbewusst	guilty	Hermine steckte es vorsichtig in die Tasche, und während sie die Bibliothek verließen, achteten sie sorgfältig darauf, nicht allzu schnell zu gehen oder zu schuldbewußt dreinzuschauen.
Einwand	objection	Hermine hatte sich gegen Rons Einwände durchgesetzt und darauf hingewiesen, daß dies der letzte Ort sei, den jemand aufsuchen würde, der noch alle Tassen im Schrank hatte.
geräuschvoll	noisy	Die Maulende Myrte weinte geräuschvoll in ihrer Kabine, doch sie beachteten sie nicht, und Myrte tat es ihnen gleich.
ausmalen	(to) colour in	Einige der Zaubertränke hatten derart gruslige Wirkungen, daß sie es sich lieber nicht ausmalten, und es gab einige gräuliche Abbildungen, darunter ein Mann, dessen Inneres nach außen gekehrt war, und eine Hexe, der etliche Arme aus dem Kopf sprossen.
graulich	scary	Einige der Zaubertränke hatten derart gruslige Wirkungen, daß sie es sich lieber nicht ausmalten, und es gab einige gräuliche Abbildungen, darunter ein Mann, dessen Inneres nach außen gekehrt war, und eine Hexe, der etliche Arme aus dem Kopf sprossen.
Knöterich	Polygonum	»Florfliegen, Blutegel, Flußgras und Knöterich«, murmelte sie und fuhr mit dem Finger über die Zutatenliste.
Schererei	trouble	Hermine sah nach, ob draußen vor dem Klo die Luft rein war, und Ron brummte Harry zu:»Wir hätten viel weniger Scherereien, wenn du Malfoy morgen einfach vom Besen hauen könntest.«
Überschwang	exuberance	Die Brust vor Überschwang geschwellt, wandte sich Wood an Harry.
Händedruck	handshake	Madam Hooch, die Quidditch-Lehrerin, forderte Flint und Wood zum Händedruck auf, und unter drohenden Blicken packten sie härter zu als nötig.
hartnäckig	obstinate	Klatscher verlegten sich nie so hartnäckig auf einen Spieler, es war ihre Aufgabe, so viele Leute wie möglich von den Besen zu werfen« Fred Weasley wartete am anderen Ende auf den Klatscher.
überlegen	(to) think	Er hatte keine Ahnung, was im Spiel sonst noch vor sich ging, bis er Lee Jordan, den Stadionsprecher, rufen hörte:»Slytherin in Führung, sechzig zu null Punkte «– Die überlegenen Besen der Slytherins taten eindeutig ihre Wirkung, während der verrückte Klatscher alles unternahm, um Harry vom Besen zu schlagen.
platt	flat	»Wir werden platt gemacht.
Ärmel	sleeve	»Hört mal zu«, sagte Harry, während Madam Hooch näher kam, »wenn ihr beide die ganze Zeit um mich herumfliegt, kann ich den Schnatz nur kriegen, wenn er mir den Ärmel hochsaust«, sagte Harry.
saudumm	saudumm	Komm schon, Oliver, sag ihnen, daß sie mich allein lassen sollen« »Das ist alles deine Schuld«, sagte George wutentbrannt zu Wood,«&gt;hol den Schnatz oder stirb bei dem Versuch&lt; – das war saudumm von dir, ihm das zu sagen.«
Schlaufe	strap	Er zog weite Schlaufen und legte Loopings ein, flog Spiralen und im Zickzack und rollte sich seitlich weg; ihm war leicht schwindlig, dennoch hielt der die Augen weit geöffnet; der Regen klatschte gegen seine Brille und lief ihm die Nase hoch, während er sich vom Besen hängen ließ, um einem weiteren tückischen Angriff des Klatschers auszuweichen.
zurück|treten	(to) step back	Er lieferte ihnen immer noch einen verbissenen Kampf, »Zurücktreten«, sagte Lockhart und rollte seine jadegrünen Ärmel hoch.
jadegrün	jade-green	Er lieferte ihnen immer noch einen verbissenen Kampf, »Zurücktreten«, sagte Lockhart und rollte seine jadegrünen Ärmel hoch.
Überrest	remnant	»Sie hätten gleich zu mir kommen sollen!«, tobte sie und hielt den traurigen lahmen Überrest dessen in die Höhe, was vor einer halben Stunde noch ein gesunder Arm gewesen war.
Vorhang	curtain	»Sie werden die Nacht Ober hier bleiben müssen«– Hermine wartete vor dem Vorhang um Harrys Bett, während Ron ihm in den Schlafanzug half Es dauerte eine Weile, bis der gummiartige, knochenlose Arm in einen Ärmel gestopft war.
unbeholfen	clumsy	»Alles in Ordnung«, sagte sie, während er sich mit der linken Hand unbeholfen Haferbrei in den Mund löffelte.
Lasche	loop	»Wie kannst du jetzt noch zu Lockhart halten, Hermine?«, rief Ron durch den Vorhang, während er Harrys lasche Finger durch den Ärmelaufschlag zog.
tragbar	portable	Tragbare, wasserdichte Feuer heraufzubeschwören, war eine Spezialität Hermines.
Rachen	pharynx	Es verbrannte Harry Mund und Rachen und ließ ihn husten und prusten.
verriegeln	(to) interlock	»Wir wären dich ja besuchen gekommen, aber dann haben wir beschlossen, mit dem Vielsaft-Zaubertrank anzufangen«, erklärte Ron, während Harry mühsam die Tür hinter sich verriegelte.
schmutzig	dirty	In diesem Augenblick ging die Tür des Krankenzimmers auf Schmutzig und durchnäßt stürmten die anderen aus der Gryffindor-Mannschaft herein und scharten sich um Harrys Bett.
Ausschau	lookout	»In der Tat, Sir«, sagte Dobby und nickte lebhaft und ohrenflatternd mit dem Kopf, »Dobby hat sich versteckt und nach Harry Potter Ausschau gehalten und den Durchgang verschlossen, ja, und danach mußte Dobby seine Hände schienen -»er zeigte Harry zehn lange verbundene Finger«- aber Dobby war es egal, Sir, denn er glaubte, Harry Potter sei sicher, und er hat sich nie träumen lassen, daß Harry Potter auf einem anderen Weg zur Schule kommen würde« Er schüttelte den häßlichen Kopf und wiegte vor und zurück.
verblüfft	baffled	Ron und Hermine hoben verblüfft die Köpfe.
schienen	tracks	»In der Tat, Sir«, sagte Dobby und nickte lebhaft und ohrenflatternd mit dem Kopf, »Dobby hat sich versteckt und nach Harry Potter Ausschau gehalten und den Durchgang verschlossen, ja, und danach mußte Dobby seine Hände schienen -»er zeigte Harry zehn lange verbundene Finger«- aber Dobby war es egal, Sir, denn er glaubte, Harry Potter sei sicher, und er hat sich nie träumen lassen, daß Harry Potter auf einem anderen Weg zur Schule kommen würde« Er schüttelte den häßlichen Kopf und wiegte vor und zurück.
schwirren	(to) whir	Plötzlich schwirrte die Luft von Gerüchten und Verdächtigungen. gDie Erstklässler gingen jetzt nur noch in Grüppchen durch das Schloss, als ob sie Angst hätten, angegriffen zu werden, wenn sie sich allein auf den Weg machten.
einsetzen	(to) insert	Ginny Weasley, die in Zauberkunst neben Colin Creevey gesessen hatte, war ganz verstört, doch Harry hatte den Eindruck, daß Fred und George das falsche Rezept einsetzten, um sie aufzumuntern.
anbrennen	(to) light	»Dobby war so entsetzt, als er hörte, daß Harry Potter zurück in Hogwarts war, daß er das Essen seines Herrn anbrennen ließ!
lauern	(to) lurk	Abwechselnd ließen sie sich Pelze oder Furunkel wachsen und lauerten ihr hinter Statuen auf, um ihr dann mitten in den Weg zu springen.
Tracht	strive	Eine solche Tracht Prügel hat Dobby noch nie bekommen, Sir«– Harry ließ sich auf die Kissen zurückfallen.
unterdessen	Meanwhile	Unterdessen kam es hinter dem Rücken der Lehrer zu einem blühenden Handel mit Talismanen, Amuletten und anderen schützenden Utensilien.
schnauben	(to) snort	»oh, ist das alles?«, sagte Harry schnaubend.
Ungeziefer	vermin	Wir Hauselfen wurden wie Ungeziefer behandelt, Sir!
der Handel	deal, business	Unterdessen kam es hinter dem Rücken der Lehrer zu einem blühenden Handel mit Talismanen, Amuletten und anderen schützenden Utensilien.
insgesamt	all in all	»Aber insgesamt, Sir, hat sich das Leben für unsereins verbessert, seit Sie über jenen, dessen Name nicht genannt werden darf, triumphiert haben.
verdächtig	suspicious	Harry, Ron und Hermine trugen sich in die Liste ein; sie hatten gehört, daß auch Malfoy dableiben würde, und das kam ihnen sehr verdächtig vor.
Bündel	bundle up	»Neben ihm lag ein Bündel Trauben«, sagte Professor McGonagall, »wir glauben, er hat versucht sich hier heraufzuschleichen, um Potter zu besuchen.«
klauen	(to) snitch	Harry verschwieg den andern, daß er lieber dem sagenhaften Monster Slytherins die Stirn bieten würde als von Snape beim Klauen in seinem Büro erwischt zu werden.
Traube	grape	»Neben ihm lag ein Bündel Trauben«, sagte Professor McGonagall, »wir glauben, er hat versucht sich hier heraufzuschleichen, um Potter zu besuchen.«
geschmolzen	melted	»Geschmolzen«, sagte Madam Pomfrey und schüttelte den Kopf, »alles geschmolzen«– »Was bedeutet das, Albus?«, fragte Professor McGonagall ängstlich.
sächlich	factual	»Ich glaube, ich mach das besser selbst mit dem Klauen«, fuhr Hermine in sachlichem Ton fort.
Eintrag	entry	»Ihr beide werdet rausgeworfen, wenn ihr noch mal was anstellt, und ich habe noch keinen Eintrag.
stiften	donate	Also müßt ihr nur genug Durcheinander stiften, um Snape etwa fünf Minuten lang in Atem zu halten.«
schnippen	flicked	Draco Malfoy, Snapes Lieblingsschüler, schnippte dauernd Pufferfischaugen gegen Ron und Harry, die wußten, wenn sie sich rächen würden, bekämen sie schneller Strafarbeiten aufgehalst, als sie»ungerecht»sagen konnten.
wässrig	aqueous	Er wartete auf Hermines Zeichen und hörte kaum zu, als Snape vor ihn trat und über seine wäßrige Suppe spottete.
hänseln	tease	Als Snape weiterging, um Neville zu hänseln, sah Hermine zu Harry hinüber und nickte.
aufmuntern	encouragingly	»Snape kann nicht beweisen, daß du es warst«, sagte Ron aufmunternd.
soeben	just	Als Harry, Ron und Hermine eine Woche später die Eingangshalle durchquerten, bemerkten sie einen kleinen Menschenauflauf um das schwarze Brett, wo soeben ein Pergament gangepinnt worden war.
Stoßseufzer	sigh	»Solange er nicht «–, begann Harry, doch mit einem Stoßseufzer brach er ab: Gewandet in einen prachtvollen pflaumenblauen Umhang betrat Gilderoy Lockhart die Bühne, und ihm folgte, in seinem üblichen schwarzen Umhang, kein anderer als Snape.
Einzelheit	Details	Nun, Professor Dumbledore hat mir die Erlaubnis erteilt, diesen kleinen Duellierclub zu gründen und euch auszubilden für den Fall, daß ihr euch verteidigen müßt, wie ich selbst es in zahllosen Fällen getan habe – die Einzelheiten lest ihr bitte in meinen Veröffentlichungen nach.
Veröffentlichung	publication	Nun, Professor Dumbledore hat mir die Erlaubnis erteilt, diesen kleinen Duellierclub zu gründen und euch auszubilden für den Fall, daß ihr euch verteidigen müßt, wie ich selbst es in zahllosen Fällen getan habe – die Einzelheiten lest ihr bitte in meinen Veröffentlichungen nach.
anfangs	first	»Er hat mir anvertraut, daß er selbst ein klein wenig vom Duell versteht und sich freundlicherweise bereit erklärt hat, mir anfangs bei einer kleinen Vorführung zu helfen.
unversehrt	intact	Nun, ihr jungen Leute braucht euch keine Sorgen zu machen, wenn ich mit ihm fertig bin, bekommt ihr euren Zaubertranklehrer unversehrt wieder, keine Angst!«
weshalb	why	
Weite	size	Harry fragte sich, weshalb Lockhart eigentlich noch lächelte; wenn Snape ihn so angesehen hätte, hätte er schon längst das Weite gesucht.
rücklings	backward	»Ein blendend scharlachroter Blitz riß Lockhart von den Füßen: rücklings flog er über die Bühne, knallte gegen die Wand, rutschte an ihr herunter und blieb, alle Viere von sich gestreckt, auf dem Boden liegen.
johlen	hooted	Malfoy und einige andere Slytherins johlten.
lehrreich	instructive	»Das war ein Entwaffnungszauber – wie ihr seht, hab ich meinen Zauberstab verloren – ah, danke, Miss Brown – ja, treffliche Idee, ihnen das zu zeigen, Professor Snape, aber verzeihen Sie, wenn ich Ihnen dies sage, es war recht offensichtlich, was Sie vorhatten, und ich hätte es verhindert, wenn ich nur gewollt hätte – allerdings meinte ich, es sei lehrreich, wenn die Schüler es sehen würden«– Snapes Gesicht hatte einen mörderischen Ausdruck angenommen.
auffallen	noticed	Vielleicht war das auch Lockhart aufgefallen, denn er sagte:»Genug der Vorführung!
eitel	Eitel	Eitel grinsend schritt Malfoy herbei.
vierschrötig	burly	Sie war groß und vierschrötig und ihr schwerer Kiefer mahlte angriffslustig.
Schwitzkasten	headlock	Neville und Justin lagen schwer atmend auf dem Boden; Ron half dem aschfahlen Seamus auf die Beine und entschuldigte sich für was immer auch sein lädierter Zauberstab angestellt haben mochte; doch Hermine und Millicent Bulstrode rauften noch miteinander; Millicent hatte Hermine, die vor Schmerz wimmerte, im Schwitzkasten: die Zauberstäbe der beiden lagen vergessen auf dem Boden.
Trümmerfeld	debris field	Er hüpfte durch die Menge und begutachtete das Trümmerfeld.
Verheerung	devastation	»Longbottom richtet mit den einfachsten Zaubersprüchen Verheerungen an, da können wir das, was von Finch-Fletchley übrig bleibt, in einer Streichholzschachtel hoch ins Krankenquartier schicken.
Knall	Pop	Drohend schwang er seinen Zauberstab gegen die Schlange und es gab einen lauten Knall; die Schlange, anstatt zu verschwinden, hob sich vier Meter in die Luft und fiel dann mit einem lauten Klatschen zurück auf den Boden.
Staub	dust	Snape trat vor, wedelte mit seinem Zauberstab und die Schlange löste sich in ein Wölkchen aus schwarzem Staub auf Auch Snape musterte Harry mit einem Blick, den er nicht erwartet hätte: scharf und berechnend, und Harry mochte diesen Blick nicht.
berechnend	calculating	Snape trat vor, wedelte mit seinem Zauberstab und die Schlange löste sich in ein Wölkchen aus schwarzem Staub auf Auch Snape musterte Harry mit einem Blick, den er nicht erwartet hätte: scharf und berechnend, und Harry mochte diesen Blick nicht.
Wolle	wool	Potter muß sich mit Filch in die Wolle gekriegt haben.
Schlamm	sludge	Dieser Erstkläßler Creevey hat Potter beim Quidditch-Spiel geärgert, weil er Bilder von ihm machte, als Potter im Schlamm lag.
Befürchtung	Fears	Offensichtlich hatten sich die schlimmsten Befürchtungen der Hufflepuffs bestätigt.
Pranke	paws	Ein toter Hahn baumelte von einer seiner massigen behandschuhten Pranken herab.
Bannkreis	spell	»Entweder Füchse oder ein Blut saugendes Gespenst, und ich brauch die Erlaubnis des Schulleiters, einen Bannkreis um den Hühnerstall zu ziehen.«
angeln	fishing	»Justin hat auf so etwas gewartet, seit ihm Potter gegenüber herausgerutscht ist, daß er ein Muggelkind ist«– Harry stapfte die Treppen hoch und bog in einen Korridor ein, der noch dunkler war als die anderen; ein scharfer, eisiger Luftzug pfiff durch ein in den Angeln schlagendes Fenster und hatte die Fackeln gelöscht.
stieren	goggling	Justin Finch-Fletchley lag auf dem Boden, steif und kalt und leblos an die Decke stierend, mit einem festgefrorenen Ausdruck des Entsetzens im Gesicht.
reglos	Motionless	Reglos schwebte er eine Handbreit über dem Boden.
Trommelwirbel	drumroll	Harry rappelte sich auf, schnell und flach atmend, und sein Herz vollführte eine Art Trommelwirbel gegen seine Rippen.
Schild	shields	»Was fährt Potter im Schilde?
Purzelbaum	somersault	Er vollendete seinen Purzelbaum und bevor Harry ihn aufhalten konnte, füllte er seine Lungen und brüllte: »ANGRIFF!
gestreift	striped	Professor McGonagall kam herbeigeeilt, gefolgt von ihren Schülern, von denen einer immer noch schwarzweiß gestreiftes Haar hatte.
Anweisung	Instructions	Professor McGonagall beschwor schließlich einen großen Föhn aus dem Nichts herauf und reichte ihn Ernie mit der Anweisung, den Fast Kopflosen Nick die Treppe hochzupusten.
der Föhn	hairdryer	Professor McGonagall beschwor schließlich einen großen Föhn aus dem Nichts herauf und reichte ihn Ernie mit der Anweisung, den Fast Kopflosen Nick die Treppe hochzupusten.
staunen	(to) amaze	Obwohl Harry Angst hatte vor dem, was ihn jetzt erwartete, mußte er einfach staunen.
der Aufzug	elevator	Hinter der Wand war eine Wendeltreppe, die sich langsam nach oben bewegte wie ein Aufzug.
surren	buzzed	Auf den storchbeinigen Tischen standen merkwürdige silberne Instrumente, die surrten und kleine Rauchwolken ausstießen.
ehemalig	former	An den Wänden hingen Bilder ehemaliger Schulleiter und Schulleiterinnen, die alle friedlich in ihren Rahmen dösten.
der Fimmel	craze	Schließlich wisperte ihm eine leise Stimme ins Ohr: »Hast ‘nen kleinen Fimmel, Harry Potter?«
gewitzt	smart	Ähm – tut mir Leid, daß ich dich störe – ich wollte nur fragen «– »Du fragst dich, ob ich dich ins richtige Haus gesteckt habe«, sagte der Hut gewitzt. ja« bei dir war es besonders schwierig.
boshaft	spiteful	Harry starrte ihn an und der Vogel starrte boshaft zurück und ließ erneut sein würgendes Geräusch hören.
sputen	hurry	»Sah seit Tagen schon fürchterlich aus, ich hab ihm gesagt, er solle sich mal sputen.«
die Lasten	expenses	Sie können unglaublich schwere Lasten tragen, ihre Tränen haben heilende Kraft und sie sind außerordentlich treue Haustiere.«
Ansturm	rush	Fast kam es zu einem Ansturm auf die Fahrkarten für den Hogwarts-Express, denn alle wollten über Weihnachten nach Hause.
nachmachen	imitated	Crabbe und Goyle, die Malfoy alles nachmachten, hatten sich ebenfalls in die Liste derer eingetragen, die in den Ferien dableiben wollten.
Vorhut	vanguard	Sie ließen es sich nicht nehmen, als Harrys Vorhut durch die Gänge zu marschieren und zu rufen:»Macht Platz für den Erben von Slytherin, ein gaaanz böser Zauberer kommt hier durch«– Percy mißbilligte dieses Verhalten zutiefst.
zutiefst	deeply	Sie ließen es sich nicht nehmen, als Harrys Vorhut durch die Gänge zu marschieren und zu rufen:»Macht Platz für den Erben von Slytherin, ein gaaanz böser Zauberer kommt hier durch«– Percy mißbilligte dieses Verhalten zutiefst.
ahnungsvoll	foreboding	»Eben weil es fast aus ihm herausplatzt, daß es in Wahrheit er ist«, sagte Ron ahnungsvoll.
Anerkennung	Recognition	»Ihr wißt ja, wie er jeden haßt, der besser ist als er, und du, Harry, kriegst die ganze Anerkennung für seine schmutzige Arbeit.«
Überzeugung	conviction	Percy, der ihr, wie er es nannte, kindisches Betragen verachtete, tauchte selten im Gemeinschaftsraum der Gryffindors auf Er hatte ihnen mit dem Brustton der Überzeugung erklärt, daß er nur deshalb über Weihnachten bleibe, weil es seine Pflicht als Vertrauensschüler sei, die Lehrer in diesen unruhigen Zeiten zu unterstützen.
Zahnstocher	toothpick	Sie hatten Harry einen Zahnstocher geschickt und einen Zettel, auf dem es hieß, er solle fragen, ob er auch während der Sommerferien in Hogwarts bleiben könne.
Eierpunsch	Eggnog	Dumbledore stimmte mit ihnen ein paar seiner liebsten Weihnachtslieder an, wobei Hagrid mit jedem Becher Eierpunsch, den er schluckte, lauter dröhnte.
sachlich	objective	»Wir brauchen immer noch Stückchen von den Leuten, in die ihr euch verwandeln wollt«, sagte Hermine ganz sachlich, als schickte sie die beiden in den Laden, um Waschpulver zu kaufen.
gelassen	left	Ich hab alles genau geplant«, fuhr sie gelassen fort und achtete nicht im Geringsten auf Harrys und Rons verdutzte Gesichter.
reibungslos	smoothly	Doch zu Harrys und Rons kompletter Verblüffung verlief Phase eins ihrer Operation genau so reibungslos, wie Hermine gesagt hatte.
schadenfroh	gleefully	»Wie dick kann man eigentlich werden?«, flüsterte Ron begeistert, als Crabbe schadenfroh auf die Kuchen deutete und sie sich schnappte.
schnappen	(to) snap	»Wie dick kann man eigentlich werden?«, flüsterte Ron begeistert, als Crabbe schadenfroh auf die Kuchen deutete und sie sich schnappte.
Borste	short stiff hair	Sobald sie sicher zwischen den Eimern und Wischern verstaut waren, riss Harry ein paar der Borsten aus, die auf Goyles Stirn wuchsen, und Ron nahm sich ein paar Haare von Crabbe.
der Qualm	fume	Dicker schwarzer Qualm drang aus der Kabine, in der Hermine den Kessel rührte.
die Riegel (pl.)	bars	Mit einem scharrenden Geräusch wurde der Riegel zurückgeschoben und Hermine tauchte vor ihnen auf.
angespannt	tense	Ihr Gesicht glänzte und wirkte angespannt.
träge	lazy	Aus der Nähe sah der Zaubertrank wie dicker, dunkler, träge blubbernder Schlamm aus.
triezen	(to) pester	»Da werden sie dich ganz fürchterlich triezen«, sagte Myrte glücklich.
griesgrämig	grouchy	»Und danken möchte ich den inwischen sechsundvierzig Leuten, die mir Karten geschickt haben. ja, ich habe mir die Freiheit genommen, diese kleine Überraschung für Sie alle vorzubereiten – und es kommt noch besser« Lockhart klatschte in die Hände und durch das Portal zur Eingangshalle marschierte ein Dutzend griesgrämig dreinschauender Zwerge.
die Lupe	magnifying glass	»Keine Ahnung«, sagte Harry, während Ron Harrys Umhang unter die Lupe nahm.
Rührei	scrambled eggs	»Beste Bedingungen für Quidditch!«, sagte Wood begeistert am Gryffindor-Tisch und schaufelte die Teller der Mannschaft mit Rührei voll.
die Traube	a bunch of grapes	Die Hufflepuffs, die in kanariengelb spielten, bildeten eine Traube und besprachen ein letztes Mal ihre Taktik.
meißeln	(to) chisel	Das Bild Hermines wollte ihm einfach nicht aus dem Kopf, wie sie da auf dem Krankenbett lag, als wäre sie aus Stein gemeißelt.
eichen	oak	Als sie das eichene Schloßtor erreichten, fiel ihnen ein Stein vom Herzen.
Nadelstreifenanzug	pinstripe suit	Er trug eine seltsame Mischung von Kleidern: einen Nadelstreifenanzug, eine scharlachrote Krawatte, einen langen schwarzen Umhang und spitze purpurne Stiefel.
missmutig	discontented	»Ich hab niemals«, begann Hagrid und sah Dumbledore flehend an, »Sie wissen, Professor Dumbledore, Sir, ich hab nie «– »Ich möchte klarstellen, Cornelius, daß Hagrid mein volles Vertrauen genießt«, sagte Dumbledore und sah Fudge mißmutig an.
Vernehmen	reportedly	Das Ministerium muß etwas unternehmen – die Schulräte haben sich ins Vernehmen gesetzt «– »Ich sage Ihnen noch mal, Cornelius, wenn Sie Hagrid mitnehmen, wird uns das keinen Schritt weiterbringen«, sagte Dumbledore.
Vorsichtsmaßnahme	Reminder	»Keine Strafe, Hagrid, eher eine Vorsichtsmaßnahme.
