erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.	[sound:erbärmlich.ogg.mp3]
Vergünstigung	privilege, benefit	»Es wäre angeraten, ihm gewisse Vergünstigungen zu entziehen, bis er bereit ist, uns die ganze Geschichte zu erzählen.	[sound:Vergünstigung.ogg.mp3]
zuverlässig	reliable	»Zuverlässige historische Quellen sagen uns jedenfalls so viel«, sagte er.	[sound:zuverlässig.ogg.mp3]
beiläufig	casual	»Hallo, Colin«, sagte Harry beiläufig.	[sound:beiläufig.ogg.mp3]
überwuchern	(to) overgrow	»Doch diese klaren Tatsachen werden überwuchert durch die phantasiereiche Legende von der Kammer des Schreckens.	[sound:überwuchern.ogg.mp3]
unschuldig	innocent	»Unschuldig bis zum Beweis der Schuld, Severus«, sagte er entschieden.	[sound:unschuldig.ogg.mp3]
grantig	bad-tempered	»Ich kann da nicht rein«, sagte Ron grantig.	[sound:grantig.ogg.mp3]
halblang	mid-length	»Nun mal halblang, Severus«, sagte Professor McGonagall scharf, »ich sehe keinen Grund, dem Jungen das Quidditch zu verbieten.	[sound:halblang.ogg.mp3]
teigig	doughy	»Dafür wäre schwarze Magie der fortgeschrittensten «– »Er hat’s getan, er hat’s getan«, keifte Filch, und sein teigiges Gesicht lief purpurrot an.	[sound:teigig.ogg.mp3]
rauschen	rush	Im Nu rauschte er an Harry, Ron und Hermine vorbei und holte Mrs Norris vom Fackelhalter.	[sound:rauschen.ogg.mp3]
die Alraune	mandrake	»Meine Katze ist versteinert worden!«, kreischte er mit hüpfenden Augenbällen, »ich will eine Bestrafung sehen« »Wir werden sie heilen können, Argus«, sagte Dumbledore geduldig, »Madam Sprout ist es kürzlich gelungen, einige Alraunen zu züchten.	[sound:die Alraune.ogg.mp3]
zufolge	according to	Dieser zufolge hat Slytherin eine Geheimkammer in das Schloß eingebaut, von der die anderen Gründer nichts wußten.	[sound:zufolge.ogg.mp3]
der Beweis	prove	Es gibt keinerlei Beweise dafür, daß Potter etwas Unrechtes getan hat.«	[sound:der Beweis.ogg.mp3]
röntgen	X-ray	Seine blinkenden hellblauen Augen gaben Harry das Gefühl, geröntgt zu werden.	[sound:röntgen.ogg.mp3]
prüfen	test	Dumbledore sah Harry prüfend an.	[sound:prüfen.ogg.mp3]
das Bewusstsein	awareness	»Ich habe Mrs Norris nicht einmal angefasst!«, sagte Harry laut und im Bewusstsein, daß ihn alle ansahen, auch alle Lockharts an den Wänden.	[sound:das Bewusstsein.ogg.mp3]
starren	stare	Mit einem Funkeln in den kalten Augen, das sonst blutleere Gesicht gerötet, grinste er beim Anblick der starren Katze.	[sound:starren.ogg.mp3]
der Klecks	blot	Als er gedankenverloren nach seinem Zauberstab griff, um die Kleckse zu entfernen, fing das Pergament Feuer.	[sound:der Klecks.ogg.mp3]
gequält	tormented	Er hat – in meinem Büro – er weiß, daß ich ein – ich ein -»in Filchs Gesicht trat etwas fürchterlich Gequältes, »er weiß, daß ich ein Squib bin«, stieß er hervor.	[sound:gequält.ogg.mp3]
versiegeln	seal	Und die Legende sagt weiter, daß Slytherin diese Kammer versiegelt hat, so daß keiner sie öffnen kann, bis sein eigener wahrer Erbe zur Schule kommt.	[sound:versiegeln.ogg.mp3]
ungehalten	annoyed	Professor Binns sah ein wenig ungehalten aus.	[sound:ungehalten.ogg.mp3]
das Kinn	chin	Die Maulende Myrte schwebte über der Kloschüssel und drückte an einem Pickel auf ihrem Kinn herum.	[sound:das Kinn.ogg.mp3]
umstehen	(to) stand round	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.	[sound:umstehen.ogg.mp3]
das Maßband	measure band	»Wo ist sie?«, fragte Harry, griff sich das Maßband und entrollte seine eigene Hausarbeit.	[sound:das Maßband.ogg.mp3]
beflissen	keen	Beflissen trat Lockhart vor.	[sound:beflissen.ogg.mp3]
furchteinflößend	frightening	Aber ich würde meinen – schaut euch den Kerl doch mal an «– »Ich denke«, sagte Harry rasch auf einen bedeutungsvollen Blick von Nick hin, »Nick ist sehr – furchteinflößend und – ähm «– »Ha!«, rief Sir Patricks Kopf, »wette, er hat Sie gebeten, das zu sagen!«	[sound:furchteinflößend.ogg.mp3]
blühend	flourishing	»Die ganze Geschichte ist natürlich blühender Unsinn«, sagte er.	[sound:blühend.ogg.mp3]
die Vorahnung	foreboding	»Wenn ich etwas dazu sagen darf, Direktor«, sagte Snape aus dem Schatten heraus, und Harrys ungute Vorahnung verstärkte sich; gewiß würde Snape nichts zu sagen haben, was ihm helfen könnte.	[sound:die Vorahnung.ogg.mp3]
der Unterkiefer	lower jaw	Dean Thomas, der mit herabhängendem Unterkiefer dagesessen und aus dem Fenster gestarrt hatte, schreckte aus seiner Trance; Lavender Brown riß den Kopf von ihren Armen und Nevilles Ellbogen rutschte vom Tisch.	[sound:der Unterkiefer.ogg.mp3]
unangenehm	unpleasant	Die Stimmung war unangenehm gespannt, denn alle sahen ihn an und warteten auf mehr.	[sound:unangenehm.ogg.mp3]
verdutzt	taken aback	Professor Binns, inmitten eines sterbenslangweiligen Vortrags über die Internationale Zaubererversammlung von 1289, schaute verdutzt auf.	[sound:verdutzt.ogg.mp3]
der Schrecken	fright	Der Erbe allein soll in der Lage sein, die Kammer des Schreckens zu entsiegeln, den Schrecken im Innern zu entfesseln und mit seiner Hilfe die Schule von all jenen zu säubern, die es nicht wert seien, Zauberei zu studieren.«	[sound:der Schrecken.ogg.mp3]
verdächtigen	suspect	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.	[sound:verdächtigen.ogg.mp3]
trübe	cloudy	Der Boden war feucht und spiegelte trübe das Licht einiger Kerzenstummel wider, die in ihren Haltern ausbrannten; von den zerkratzten Holztüren der Kabinen schälte sich die Farbe ab und eine hing in den Angeln.	[sound:trübe.ogg.mp3]
der Pickel	pimple	Die Maulende Myrte schwebte über der Kloschüssel und drückte an einem Pickel auf ihrem Kinn herum.	[sound:der Pickel.ogg.mp3]
erben	heirs	FEINDE DES ERBEN, NEHMT EUCH IN ACHT »Was hängt – dadrunter?«, fragte Ron mit leichtem Zittern in der Stimme.	[sound:erben.ogg.mp3]
kräuseln	(to) frizz	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.	[sound:kräuseln.ogg.mp3]
die Wasserlache	puddle [of water]	Harry rutschte beinahe aus – auf dem Boden war eine große Wasserlache; Ron und Hermine hielten ihn fest und gemeinsam näherten sie sich der Schrift an der Wand, die Augen auf den dunklen Schatten darunter gerichtet.	[sound:die Wasserlache.ogg.mp3]
lauten	lutes	»Ich brauch doch nur noch sechs Zentimeter, nun komm schon «– Es läutete.	[sound:lauten.ogg.mp3]
hanebüchen	outrageous	Ich bereue es, Ihnen eine so hanebüchene Legende erzählt zu haben!	[sound:hanebüchen.ogg.mp3]
Reißaus	heels	Harry erzählte Ron, daß Justin Finch-Fletchley vor ihm Reißaus genommen habe.	[sound:Reißaus.ogg.mp3]
bloke	(to) bleat	»Der müßte schon ziemlich blöde sein.«	[sound:bloke.ogg.mp3]
empfinden (für jmdm)	(to) to feel for someone	Sosehr er Filch verabscheute, Harry konnte nicht anders, er empfand ein wenig Mitleid für ihn, wenn auch nicht so viel wie für sich selbst.	[sound:empfinden (für jmdm).ogg.mp3]
unheimlich	terrifically	»Aber, du mußt zugeben, es ist unheimlich«– »Ich weiß, es ist unheimlich«, sagte Harry.	[sound:unheimlich.ogg.mp3]
reißerisch	sensational	»Allerdings ist die Legende, von der Sie sprechen, eine derart reißerische, geradezu lächerliche Geschichte «– Doch nun hing die ganze Klasse an Professor Binns’ Lippen.	[sound:reißerisch.ogg.mp3]
erbost	infuriate	»Das hab ich auch Ginny gesagt«, sagte Percy erbost, »aber sie denkt offenbar immer noch, daß ihr von der Schule fliegt, ich hab sie nie so aufgeregt gesehen, sie heult sich die Augen aus, denk doch mal an sie, alle Erstkläßler sind wegen dieser ganzen Geschichte völlig aus dem Häuschen «– »Dir ist Ginny doch egal«, sagte Ron, und die Ohren liefen ihm jetzt rot an.	[sound:erbost.ogg.mp3]
trocken	dry		[sound:trocken.ogg.mp3]
fähig	able	Er war auf einem Stuhl neben dem Schreibtisch zusammengesunken, das Gesicht in den Händen vergraben und nicht fähig, einen Blick auf Mrs Norris zu werfen.	[sound:fähig.ogg.mp3]
Abschaum	scum	»Überlegen wir mal«, sagte Ron mit gespielter Ratlosigkeit, »wer, den wir kennen, denkt, Muggelkinder seien Abschaum?«	[sound:Abschaum.ogg.mp3]
zypriotisch	Cypriot	»Er räusperte sich, was sich anhörte wie zerbrechende Kreide, und fuhr fort:»im September jenes Jahres hat ein Unterausschuss zyprischer Zauberer «– Er verhaspelte sich und brach ab.	[sound:zypriotisch.ogg.mp3]
Bücke	stoop	Harry, Ron und Hermine tauschten gespannte Bücke und setzten sich auf Stühle außerhalb des Kerzenscheins.	[sound:Bücke.ogg.mp3]
Weise	show	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.	[sound:Weise.ogg.mp3]
Auslassung	omission	Ich kenne nämlich den Gegenfluch, der sie gerettet hätte«– Während Lockharts Auslassungen waren immer wieder Filchs trockene, markerschütternde Schluchzer zu hören.	[sound:Auslassung.ogg.mp3]
wachsam	watchful	Hinter ihnen im Halbschatten stand Snape, wachsam und mit einem höchst merkwürdigen Gesichtsausdruck: als ob er angestrengt versuchte nicht zu lächeln.	[sound:wachsam.ogg.mp3]
achselzuckend	shrugging	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.	[sound:achselzuckend.ogg.mp3]
eifrig	eager	Ehrlich gesagt, wenn der Sprechende Hut versucht hätte, mich nach Slytherin zu stecken, hätte ich gleich wieder den Zug nach Hause genommen«– Hermine nickte eifrig, doch Harry sagte kein Wort.	[sound:eifrig.ogg.mp3]
Angriff	attack	Ein paar Tage lang sprachen sie in der Schule von nichts anderem als vom Angriff auf Mrs Norris.	[sound:Angriff.ogg.mp3]
schwellen	thresholds	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.	[sound:schwellen.ogg.mp3]
Zipfel	corner	Es gibt rächt den Zipfel eines Beweises, daß Slytherin auch nur einen geheimen Besenschrank gebaut hat!	[sound:Zipfel.ogg.mp3]
rächen	avenge	Es gibt rächt den Zipfel eines Beweises, daß Slytherin auch nur einen geheimen Besenschrank gebaut hat!	[sound:rächen.ogg.mp3]
ausstopfen	(to) stuff	Dumbledore murmelte jetzt seltsame Worte vor sich hin und tippte Mrs Norris mit seinem Zauberstab an, doch nichts passierte: sie sah weiterhin aus, als wäre sie gerade ausgestopft worden. »– ich kann mich an einen ganz ähnlichen Vorfall in Ouagadogou erinnern«, sagte Lockhart, »eine Serie von Attacken, nachzulesen in meiner Autobiographie; ich konnte die Dorfbevölkerung mit verschiedenen Amuletten ausstatten, und die Sache war sofort erledigt«– Die Lockharts an den Wänden nickten allesamt zustimmend.	[sound:ausstopfen.ogg.mp3]
Kreide	chalk	»Er räusperte sich, was sich anhörte wie zerbrechende Kreide, und fuhr fort:»im September jenes Jahres hat ein Unterausschuss zyprischer Zauberer «– Er verhaspelte sich und brach ab.	[sound:Kreide.ogg.mp3]
Verfolgung	pursuit	Sie haben dieses Schloß gemeinsam erbaut, fern von neugierigen Muggelaugen, denn es war ein Zeitalter, als das einfache Volk die Zauberei fürchtete und Hexen und Zauberer unter grausamer Verfolgung zu leiden hatten.«	[sound:Verfolgung.ogg.mp3]
bemüht	tries	Hermine bemühte sich offenbar immer noch, sich das Lachen zu verkneifen.	[sound:bemüht.ogg.mp3]
Staunen	amazement	Percy Weasley, mit glänzendem Vertrauensschülerabzeichen, stand wie angewurzelt am Treppenabsatz, mit dem Ausdruck ungläubigen Staunens auf dem Gesicht.	[sound:Staunen.ogg.mp3]
Lage	location	Der Erbe allein soll in der Lage sein, die Kammer des Schreckens zu entsiegeln, den Schrecken im Innern zu entfesseln und mit seiner Hilfe die Schule von all jenen zu säubern, die es nicht wert seien, Zauberei zu studieren.«	[sound:Lage.ogg.mp3]
Bescheid	am content	»Die Klagende Witwe ist immerhin aus Kent angereist« es ist Zeit für meine Rede, ich geh lieber und sag dem Orchester Bescheid« e Das Orchester hörte jedoch in diesem Moment zu spielen auf.	[sound:Bescheid.ogg.mp3]
einträchtig	harmonious	»Ein paar Jahre lang arbeiteten die Zauberer einträchtig zusammen.	[sound:einträchtig.ogg.mp3]
gestanden	been	Harry und Ron standen mit offenen Mündern da, doch Hermine zuckte matt die Achseln und meinte:»Offen gestanden war das für Myrtes Verhältnisse eine fast fröhliche Unterhaltung« kommt, gehen wir.«	[sound:gestanden.ogg.mp3]
Verhältnis	relationship	Harry und Ron standen mit offenen Mündern da, doch Hermine zuckte matt die Achseln und meinte:»Offen gestanden war das für Myrtes Verhältnisse eine fast fröhliche Unterhaltung« kommt, gehen wir.«	[sound:Verhältnis.ogg.mp3]
Kluft	rig-out	Zwischen Slytherin und den andern tat sich eine wachsende Kluft auf.	[sound:Kluft.ogg.mp3]
Vorfall	incident	Dumbledore murmelte jetzt seltsame Worte vor sich hin und tippte Mrs Norris mit seinem Zauberstab an, doch nichts passierte: sie sah weiterhin aus, als wäre sie gerade ausgestopft worden. »– ich kann mich an einen ganz ähnlichen Vorfall in Ouagadogou erinnern«, sagte Lockhart, »eine Serie von Attacken, nachzulesen in meiner Autobiographie; ich konnte die Dorfbevölkerung mit verschiedenen Amuletten ausstatten, und die Sache war sofort erledigt«– Die Lockharts an den Wänden nickten allesamt zustimmend.	[sound:Vorfall.ogg.mp3]
schrumplig	wrinkled	Er war uralt und schrumplig, und viele Leute sagten, er habe nicht bemerkt, daß er tot sei.	[sound:schrumplig.ogg.mp3]
Mär	fable	Eine Mär, die dazu taugt, den Leichtgläubigen Furcht einzujagen.«	[sound:Mär.ogg.mp3]
Staubsauger	vacuum cleaner	Professor Binns öffnete seine Unterlagen und begann dumpf dröhnend wie ein Staubsauger zu lesen, bis fast alle in der Klasse in einen Wachschlaf verfallen waren, nur gelegentlich aufmerkend, um einen Namen oder ein Datum zu notieren.	[sound:Staubsauger.ogg.mp3]
unterliegen	lose	Professor Binns öffnete seine Unterlagen und begann dumpf dröhnend wie ein Staubsauger zu lesen, bis fast alle in der Klasse in einen Wachschlaf verfallen waren, nur gelegentlich aufmerkend, um einen Namen oder ein Datum zu notieren.	[sound:unterliegen.ogg.mp3]
Besessene	obsessive	Chapter 10: Der besessene Klatscher Seit der unrühmlichen Geschichte mit den Wichteln hatte Professor Lockhart keine lebenden Geschöpfe mehr in den Unterricht gebracht.	[sound:Besessene.ogg.mp3]
Geschehnis	event	Stattdessen las er ihnen aus seinem Buch vor und manchmal spielte er einige der dramatischeren Geschehnisse daraus nach.	[sound:Geschehnis.ogg.mp3]
Schnupfen	(to) sniff	So hatte er ihn schon genötigt, einen einfachen Dörfler aus Transsylvanien zu spielen, den Lockhart von einem Babbelfluch geheilt hatte, einen Yeti mit einem Schnupfen und einen Vampir, der, seit Lockhart sich ihn zur Brust genommen hatte, nichts mehr außer Kopfsalat essen konnte.	[sound:Schnupfen.ogg.mp3]
Kopfsalat	cabbage	So hatte er ihn schon genötigt, einen einfachen Dörfler aus Transsylvanien zu spielen, den Lockhart von einem Babbelfluch geheilt hatte, einen Yeti mit einem Schnupfen und einen Vampir, der, seit Lockhart sich ihn zur Brust genommen hatte, nichts mehr außer Kopfsalat essen konnte.	[sound:Kopfsalat.ogg.mp3]
weigern	refuse	Er hätte sich am liebsten geweigert, doch hatte er einen sehr guten Grund, Lockhart bei Laune zu halten.	[sound:weigern.ogg.mp3]
heulen	(to) howl	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück	[sound:heulen.ogg.mp3]
Kehle	throat	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück in einen Menschen.	[sound:Kehle.ogg.mp3]
fiepen	whimper	»Ein schönes lautes Heulen, Harry – genau – und dann, stellt euch vor, stürze ich mich auf ihn – wie jetzt – und drück ihn zu Boden – so – mit der einen Hand halte ich ihn unten – mit der andern steche ich den Zauberstab gegen seine Kehle – dann nehme ich meine letzten Kräfte zusammen und führe den immens komplizierten Homorphus-Zauber aus – der Werwolf fiept jämmerlich – weiter, Harry – noch höher -gut – der Pelz verschwindet – die Reißzähne schrumpfen – und er verwandelt sich zurück in einen Menschen.	[sound:fiepen.ogg.mp3]
Brust	breast	Lockhart warf sich in die Brust.	[sound:Brust.ogg.mp3]
Belohnung	reward	Mein Buch Magisches Ich mit Autogramm als Belohnung für das beste Gedicht!«	[sound:Belohnung.ogg.mp3]
Teesieb	tea strainer	»Oja«, sagte Hermine respektvoll, »so schlau, wie Sie diesen letzten mit dem Teesieb gefangen haben «– »Nun, sicher wird niemand etwas dagegen haben, wenn ich meiner besten Schülerin in diesem Jahr noch ein wenig weiterhelfe«, sagte Lockhart herzlich und zückte einen riesigen Pfauenfederhalter. »ja, hübsch, nicht wahr?«, sagte er, Rons empörten Blick mißdeutend, »ich benutz ihn normalerweise nur, um Bücher zu signieren.«	[sound:Teesieb.ogg.mp3]
brauchbar	useful	Wie ich höre, sind gSie ein brauchbarer Spieler.	[sound:brauchbar.ogg.mp3]
Erfahrung	experience	Bin immer gern bereit, meine Erfahrung an weniger gute Spieler weiterzugeben«– Harry gab einen undeutlichen Kehllaut von sich und hastete dann Ron und Hermine nach.	[sound:Erfahrung.ogg.mp3]
Aufschneider	boaster	»Er ist eben ein hirnloser Aufschneider«, sagte Ron.	[sound:Aufschneider.ogg.mp3]
schrill	shrill	»Aber was soll’s, wir haben, was wir brauchen «– »Er ist kein hirnloser Aufschneider«, sagte Hermine schrill, und im Laufschritt machten sie sich auf den Weg in die Bibliothek.	[sound:schrill.ogg.mp3]
reizbar	irritable	Madam Pince, die Bibliothekarin, war eine dürre, reizbare Gestalt, die aussah wie ein unterernährter Geier.	[sound:reizbar.ogg.mp3]
Geier	vulture	Madam Pince, die Bibliothekarin, war eine dürre, reizbare Gestalt, die aussah wie ein unterernährter Geier.	[sound:Geier.ogg.mp3]
hauchen	breathe	»Ich würd es so gerne behalten«, hauchte sie.	[sound:hauchen.ogg.mp3]
staksen	stalk	Sie stakste davon und verschwand zwischen den hohen Regalen.	[sound:staksen.ogg.mp3]
schimmlig	mouldy	Ein paar Minuten später kehrte sie mit einem großen, schimmlig aussehenden Buch zurück.	[sound:schimmlig.ogg.mp3]
schuldbewusst	guilty	Hermine steckte es vorsichtig in die Tasche, und während sie die Bibliothek verließen, achteten sie sorgfältig darauf, nicht allzu schnell zu gehen oder zu schuldbewußt dreinzuschauen.	[sound:schuldbewusst.ogg.mp3]
Einwand	objection	Hermine hatte sich gegen Rons Einwände durchgesetzt und darauf hingewiesen, daß dies der letzte Ort sei, den jemand aufsuchen würde, der noch alle Tassen im Schrank hatte.	[sound:Einwand.ogg.mp3]
geräuschvoll	noisy	Die Maulende Myrte weinte geräuschvoll in ihrer Kabine, doch sie beachteten sie nicht, und Myrte tat es ihnen gleich.	[sound:geräuschvoll.ogg.mp3]
ausmalen	(to) colour in	Einige der Zaubertränke hatten derart gruslige Wirkungen, daß sie es sich lieber nicht ausmalten, und es gab einige gräuliche Abbildungen, darunter ein Mann, dessen Inneres nach außen gekehrt war, und eine Hexe, der etliche Arme aus dem Kopf sprossen.	[sound:ausmalen.ogg.mp3]
graulich	scary	Einige der Zaubertränke hatten derart gruslige Wirkungen, daß sie es sich lieber nicht ausmalten, und es gab einige gräuliche Abbildungen, darunter ein Mann, dessen Inneres nach außen gekehrt war, und eine Hexe, der etliche Arme aus dem Kopf sprossen.	[sound:graulich.ogg.mp3]
Knöterich	Polygonum	»Florfliegen, Blutegel, Flußgras und Knöterich«, murmelte sie und fuhr mit dem Finger über die Zutatenliste.	[sound:Knöterich.ogg.mp3]
Schererei	trouble	Hermine sah nach, ob draußen vor dem Klo die Luft rein war, und Ron brummte Harry zu:»Wir hätten viel weniger Scherereien, wenn du Malfoy morgen einfach vom Besen hauen könntest.«	[sound:Schererei.ogg.mp3]
Überschwang	exuberance	Die Brust vor Überschwang geschwellt, wandte sich Wood an Harry.	[sound:Überschwang.ogg.mp3]
Händedruck	handshake	Madam Hooch, die Quidditch-Lehrerin, forderte Flint und Wood zum Händedruck auf, und unter drohenden Blicken packten sie härter zu als nötig.	[sound:Händedruck.ogg.mp3]
hartnäckig	obstinate	Klatscher verlegten sich nie so hartnäckig auf einen Spieler, es war ihre Aufgabe, so viele Leute wie möglich von den Besen zu werfen« Fred Weasley wartete am anderen Ende auf den Klatscher.	[sound:hartnäckig.ogg.mp3]
überlegen	(to) think	Er hatte keine Ahnung, was im Spiel sonst noch vor sich ging, bis er Lee Jordan, den Stadionsprecher, rufen hörte:»Slytherin in Führung, sechzig zu null Punkte «– Die überlegenen Besen der Slytherins taten eindeutig ihre Wirkung, während der verrückte Klatscher alles unternahm, um Harry vom Besen zu schlagen.	[sound:überlegen.ogg.mp3]
platt	flat	»Wir werden platt gemacht.	[sound:platt.ogg.mp3]
Ärmel	sleeve	»Hört mal zu«, sagte Harry, während Madam Hooch näher kam, »wenn ihr beide die ganze Zeit um mich herumfliegt, kann ich den Schnatz nur kriegen, wenn er mir den Ärmel hochsaust«, sagte Harry.	[sound:Ärmel.ogg.mp3]
saudumm	saudumm	Komm schon, Oliver, sag ihnen, daß sie mich allein lassen sollen« »Das ist alles deine Schuld«, sagte George wutentbrannt zu Wood,«&gt;hol den Schnatz oder stirb bei dem Versuch&lt; – das war saudumm von dir, ihm das zu sagen.«	[sound:saudumm.ogg.mp3]
Schlaufe	strap	Er zog weite Schlaufen und legte Loopings ein, flog Spiralen und im Zickzack und rollte sich seitlich weg; ihm war leicht schwindlig, dennoch hielt der die Augen weit geöffnet; der Regen klatschte gegen seine Brille und lief ihm die Nase hoch, während er sich vom Besen hängen ließ, um einem weiteren tückischen Angriff des Klatschers auszuweichen.	[sound:Schlaufe.ogg.mp3]
zurück|treten	(to) step back	Er lieferte ihnen immer noch einen verbissenen Kampf, »Zurücktreten«, sagte Lockhart und rollte seine jadegrünen Ärmel hoch.	[sound:zurück|treten.ogg.mp3]
jadegrün	jade-green	Er lieferte ihnen immer noch einen verbissenen Kampf, »Zurücktreten«, sagte Lockhart und rollte seine jadegrünen Ärmel hoch.	[sound:jadegrün.ogg.mp3]
Überrest	remnant	»Sie hätten gleich zu mir kommen sollen!«, tobte sie und hielt den traurigen lahmen Überrest dessen in die Höhe, was vor einer halben Stunde noch ein gesunder Arm gewesen war.	[sound:Überrest.ogg.mp3]
Vorhang	curtain	»Sie werden die Nacht Ober hier bleiben müssen«– Hermine wartete vor dem Vorhang um Harrys Bett, während Ron ihm in den Schlafanzug half Es dauerte eine Weile, bis der gummiartige, knochenlose Arm in einen Ärmel gestopft war.	[sound:Vorhang.ogg.mp3]
unbeholfen	clumsy	»Alles in Ordnung«, sagte sie, während er sich mit der linken Hand unbeholfen Haferbrei in den Mund löffelte.	[sound:unbeholfen.ogg.mp3]
Lasche	loop	»Wie kannst du jetzt noch zu Lockhart halten, Hermine?«, rief Ron durch den Vorhang, während er Harrys lasche Finger durch den Ärmelaufschlag zog.	[sound:Lasche.ogg.mp3]
tragbar	portable	Tragbare, wasserdichte Feuer heraufzubeschwören, war eine Spezialität Hermines.	[sound:tragbar.ogg.mp3]
Rachen	pharynx	Es verbrannte Harry Mund und Rachen und ließ ihn husten und prusten.	[sound:Rachen.ogg.mp3]
verriegeln	(to) interlock	»Wir wären dich ja besuchen gekommen, aber dann haben wir beschlossen, mit dem Vielsaft-Zaubertrank anzufangen«, erklärte Ron, während Harry mühsam die Tür hinter sich verriegelte.	[sound:verriegeln.ogg.mp3]
schmutzig	dirty	In diesem Augenblick ging die Tür des Krankenzimmers auf Schmutzig und durchnäßt stürmten die anderen aus der Gryffindor-Mannschaft herein und scharten sich um Harrys Bett.	[sound:schmutzig.ogg.mp3]
Ausschau	lookout	»In der Tat, Sir«, sagte Dobby und nickte lebhaft und ohrenflatternd mit dem Kopf, »Dobby hat sich versteckt und nach Harry Potter Ausschau gehalten und den Durchgang verschlossen, ja, und danach mußte Dobby seine Hände schienen -»er zeigte Harry zehn lange verbundene Finger«- aber Dobby war es egal, Sir, denn er glaubte, Harry Potter sei sicher, und er hat sich nie träumen lassen, daß Harry Potter auf einem anderen Weg zur Schule kommen würde« Er schüttelte den häßlichen Kopf und wiegte vor und zurück.	[sound:Ausschau.ogg.mp3]
verblüfft	baffled	Ron und Hermine hoben verblüfft die Köpfe.	[sound:verblüfft.ogg.mp3]
schienen	tracks	»In der Tat, Sir«, sagte Dobby und nickte lebhaft und ohrenflatternd mit dem Kopf, »Dobby hat sich versteckt und nach Harry Potter Ausschau gehalten und den Durchgang verschlossen, ja, und danach mußte Dobby seine Hände schienen -»er zeigte Harry zehn lange verbundene Finger«- aber Dobby war es egal, Sir, denn er glaubte, Harry Potter sei sicher, und er hat sich nie träumen lassen, daß Harry Potter auf einem anderen Weg zur Schule kommen würde« Er schüttelte den häßlichen Kopf und wiegte vor und zurück.	[sound:schienen.ogg.mp3]
schwirren	(to) whir	Plötzlich schwirrte die Luft von Gerüchten und Verdächtigungen. gDie Erstklässler gingen jetzt nur noch in Grüppchen durch das Schloss, als ob sie Angst hätten, angegriffen zu werden, wenn sie sich allein auf den Weg machten.	[sound:schwirren.ogg.mp3]
einsetzen	(to) insert	Ginny Weasley, die in Zauberkunst neben Colin Creevey gesessen hatte, war ganz verstört, doch Harry hatte den Eindruck, daß Fred und George das falsche Rezept einsetzten, um sie aufzumuntern.	[sound:einsetzen.ogg.mp3]
anbrennen	(to) light	»Dobby war so entsetzt, als er hörte, daß Harry Potter zurück in Hogwarts war, daß er das Essen seines Herrn anbrennen ließ!	[sound:anbrennen.ogg.mp3]
lauern	(to) lurk	Abwechselnd ließen sie sich Pelze oder Furunkel wachsen und lauerten ihr hinter Statuen auf, um ihr dann mitten in den Weg zu springen.	[sound:lauern.ogg.mp3]
Tracht	strive	Eine solche Tracht Prügel hat Dobby noch nie bekommen, Sir«– Harry ließ sich auf die Kissen zurückfallen.	[sound:Tracht.ogg.mp3]
unterdessen	Meanwhile	Unterdessen kam es hinter dem Rücken der Lehrer zu einem blühenden Handel mit Talismanen, Amuletten und anderen schützenden Utensilien.	[sound:unterdessen.ogg.mp3]
